# OldHash      NewHash      CAfile                   CAURL                                       Version   Accreditation   
#--------------------------------------------------------------------------------------------------------
75680d2e     ee64a828     AAACertificateServices.pem https://www.terena.org/activities/tcs/         1.64   I
3c58f906     157753a5     AddTrust-External-CA-Root.pem http://www.comodo.com/                         1.64   I
393f7863     cc5645bd     AEGIS.pem                http://aegis-ca.rcub.bg.ac.rs/                 1.64   I
126f0acf     036b3363     ANSPGrid.pem             http://gridca.ansp.br                          1.64   I
d0c2a341     3fb4d8a6     ArmeSFo.pem              http://www.escience.am/ca/                     1.64   I
9cd75e87     b459ca48     ASGCCA-2007.pem          http://ca.grid.sinica.edu.tw/                  1.64   I
6e3b436b     3de400d0     AustrianGrid.pem         http://ca.austriangridca.at/                   1.64   I
2a237f16     bca425d1     BalticGrid.pem           http://ca.balticgrid.org/                      1.64   I
e8d818e6     30feecdf     BEGrid2008.pem           https://gridra.begrid.be/                      1.64   I
2418a3f3     13ba0088     BG-ACAD-CA.pem           http://www.ca.acad.bg/                         1.64   I
0a2bac92     33eb0f86     BrGrid.pem               http://brgridca.ic.uff.br/                     1.64   I
709bed08     b1ac0d46     BYGCA.pem                http://ca.grid.by/                             1.64   I
742edd45     86b6fa2c     CALG.pem                 http://grid.lumii.lv/?lang=en                  1.64   I
4339b4bc     5168735f     CERN-GridCA.pem          http://www.cern.ch/ca                          1.64   I
b4278411     c2a48ab6     CERN-Root-2.pem          http://www.cern.ch/ca                          1.64   I
712ae4cc     4d12be1d     CESNET-CA-3.pem          http://www.cesnet.cz/pki/                      1.64   I
edca0fc0     f4401b90     CESNET-CA-Root.pem       http://www.cesnet.cz/pki/                      1.64   I
28776852     c2868627     cilogon-basic.pem        http://ca.cilogon.org/                         1.64   I
10718cba     01b5d333     cilogon-silver.pem       http://ca.cilogon.org/                         1.64   I
b2771d44     e2023333     CNIC.pem                 http://ca.grid.cn/en/                          1.64   I
163af95c     727146a8     CNRS2.pem                http://igc.services.cnrs.fr/GRID2-FR/          1.64   I
d11f973e     585d9326     CNRS2-Grid-FR.pem        http://igc.services.cnrs.fr/GRID2-FR/          1.64   I
09ff08b7     7022e3c4     CNRS2-Projets.pem        http://igc.services.cnrs.fr/GRID2-FR/          1.64   I
d4c339cb     d6325660     COMODO-RSA-CA.pem        http://www.comodo.com/                         1.64   I
afe55e66     83676c6b     CyGrid.pem               http://cygrid.org.cy/CyGridCA/                 1.64   I
1149214e     30ffc224     DFN-GridGermany-Root.pem https://www.pki.dfn.de/grid/                   1.64   I
a02131f7     02a45931     DFN-SLCS.pem             https://www.pki.dfn.de/grid/slcs/              1.64   I
69105f4f     b1159c4c     DigiCertAssuredIDRootCA-Root.pem http://www.digicert-grid.com/                  1.64   I
c7a717ce     82c2b224     DigiCertGridCA-1-Classic.pem http://www.Digicert-grid.com/                  1.64   I
1cdf1cd9     6043c124     DigiCertGridCA-1G2-Classic.pem http://www.Digicert-grid.com/                  1.64   I
8dd53007     62c4a178     DigiCertGridCA-1G2-Classic-2015.pem http://www.digicert-grid.com/                  1.64   I
2694e4f2     74a04bb6     DigiCertGridRootCA-Root.pem http://www.digicert-grid.com/                  1.64   I
38f7145f     67707166     DigiCertGridTrustCA-Classic.pem http://www.DigiCert-Grid.com/                  1.64   I
5d9ea26d     bd43b60c     DigiCertGridTrustCAG2-Classic.pem http://www.DigiCert-Grid.com/                  1.64   I
0a49430a     fdf90b95     DZeScience.pem           http://www.grid.arn.dz                         1.64   I
4a96b1ea     1b2e5552     EG-GRID.pem              http://www.grid.eun.eg                         1.64   I
99f9f5a3     f57f9e36     FNAL-SLCS.pem            http://security.fnal.gov/cookbook/TrustingCertificates.html       1.64   I
dd4b34ea     7ecb2657     GermanGrid.pem           http://grid.fzk.de/cgi-bin/welcome_ca.pl       1.64   I
bffbd7d0     5d674a88     GridCanada.pem           http://www.gridcanada.ca/ca                    1.64   I
